proxy,owner,originalOwner,transfers,status,totalCOMP,totalWei,rewards-v3-base-0x9e1028f5-2197588-51059175.merkl.json
0xB4362e66ff2Db09B58c9aB3414beb5d6b515e086,0x5BfB5c8f119977799F99BBEAB9dE86e7A44E57D0,0x5BfB5c8f119977799F99BBEAB9dE86e7A44E57D0,0,closed,0.000224,224000000000000,224000000000000
0xB30ed1691d9610cba0A5c5a2E645898A2a1CEB9b,0xFC021311a5423978731841f12ce3a13065fc0dA1,0xFC021311a5423978731841f12ce3a13065fc0dA1,0,closed,0.00022,220000000000000,220000000000000
0x67079A15AE48eD0bfAFE659D0565a84E0543431D,0x4eeeC9917F0978D568E890EEe27683769d03Ba35,0x4eeeC9917F0978D568E890EEe27683769d03Ba35,0,active,0.000218,218000000000000,218000000000000
0x3C07188AF19af0eaeafDf6BC35215742232b8004,0xDBcfCF489FAA6A6D068BdD71f130da5F1526d51F,0xDBcfCF489FAA6A6D068BdD71f130da5F1526d51F,0,closed,0.000216,216000000000000,216000000000000
0xeED7e181701b5030e717fF4b23A00Df6E66F45d9,0x4D0A211583a86c72704AF048dD649835A2046fe1,0x4D0A211583a86c72704AF048dD649835A2046fe1,0,active,0.000216,216000000000000,216000000000000
0x1E0F67c2E282Ce1B82D522Cff199e885014a78A1,0xa01f4973d8193ca2534ec8467c4eE308b0C5cF80,0xa01f4973d8193ca2534ec8467c4eE308b0C5cF80,0,closed,0.000213,213000000000000,213000000000000
0x24b883697FE193E8Ca736C79D5D84EEca007C8a3,0x20693cC64751626216c4C8CFd603386c01531091,0x20693cC64751626216c4C8CFd603386c01531091,0,closed,0.000211,211000000000000,211000000000000
0xCA99565834345e4E4FbA4Fa685b0eFfF0081E3B5,0x1031540EA690eFD3F1967BC103BE8F23bdFA954A,0x1031540EA690eFD3F1967BC103BE8F23bdFA954A,0,closed,0.000205,205000000000000,205000000000000
0xC4DDFD91d85Cd0aE1c8CBe585954C4364912be02,0x411d209E4874E00Dd550de43190224515b28fAFe,0x411d209E4874E00Dd550de43190224515b28fAFe,0,active,0.000199,199000000000000,199000000000000
0x6E7dBEbE9A8Df8046D1088aB9fc9b62923F76A9b,0xE7aBAD65af33f69Aa8EADC9f30A4bf03EA322C80,0xE7aBAD65af33f69Aa8EADC9f30A4bf03EA322C80,0,closed,0.000197,197000000000000,197000000000000
0xFbB306eb9e2b5295600A568Bd4D4A50c60AaF1e8,0x2C2Fa8A0B0Aa01169D1F7e2Dc70829572C263d58,0x2C2Fa8A0B0Aa01169D1F7e2Dc70829572C263d58,0,closed,0.000195,195000000000000,195000000000000
0x7f847Dd4F24eFb72346fE2971be0c8EAf93f4Fed,0xf176bBE0E27940337eC996cf8F64625ccB246Fe3,0xf176bBE0E27940337eC996cf8F64625ccB246Fe3,0,closed,0.00019,190000000000000,190000000000000
