proxy,owner,originalOwner,transfers,status,totalCOMP,totalWei,rewards-v3-optimism-0x7e7d4467-118406276-156654460.merkl.json
0xa1b2329DEF718FdF544fC2E05273C65e851091c0,0xD0886275a97757676f051B29D3b636bADcB1Acb5,0xD0886275a97757676f051B29D3b636bADcB1Acb5,0,active,0.000311,311000000000000,311000000000000
0xCdD53Ece77A885D41E06b2cA07ABce4Ac5fdfF88,0x784b7ABF6992176F8BB1a260a96Fb3ae3B601fa1,0x784b7ABF6992176F8BB1a260a96Fb3ae3B601fa1,0,active,0.000311,311000000000000,311000000000000
0xDDa87D48e7Af72bcE5D9eB46ef0F26773B9B0A7F,0xC1983Ed711404B0b50db6276951816F477f39016,0xC1983Ed711404B0b50db6276951816F477f39016,0,active,0.000311,311000000000000,311000000000000
0xf754aE3E6B3e41Ad24A7F0fCb70b1F51a14Ee1F2,0x99EBcA0EDf533CfCa45Ba8A60568939535451cB0,0x99EBcA0EDf533CfCa45Ba8A60568939535451cB0,0,active,0.000311,311000000000000,311000000000000
0x184948458287aB5f3B5A3203B30f87E836Cf06af,0x940f5293be23c4d06F9F561F2Df79457D3782e1e,0x940f5293be23c4d06F9F561F2Df79457D3782e1e,0,active,0.00031,310000000000000,310000000000000
0x2E8389CAa3b671E5FC20E5a2BE71Ea1F73447f41,0xd6170F68622FE10431D6F8993e6A981dF65673E7,0xd6170F68622FE10431D6F8993e6A981dF65673E7,0,closed,0.00031,310000000000000,310000000000000
0x4772965335eBA95994966BA60f40aF05F96c96Da,0xC622D8e64186c35A8c68BDc494EDcCc612B517dC,0xC622D8e64186c35A8c68BDc494EDcCc612B517dC,0,active,0.00031,310000000000000,310000000000000
0x68d7a29d89330E84975a9a6CDC2bb7F0126dD665,0x0DE101737FAfd0Eb7cF0C986A1fC66137f1ECe6F,0x0DE101737FAfd0Eb7cF0C986A1fC66137f1ECe6F,0,active,0.00031,310000000000000,310000000000000
0x6D8AF87710572143625f61911e6Aa9A1be51d6aF,0x2d4f144897aB9caAe700886C3EE629E165F31591,0x2d4f144897aB9caAe700886C3EE629E165F31591,0,active,0.00031,310000000000000,310000000000000
0x8cfAd083863E7D3876F293CDfd482Df60A336909,0x58B5710900811f0818456E481cC57D768548F898,0x58B5710900811f0818456E481cC57D768548F898,0,active,0.00031,310000000000000,310000000000000
0x98B047193b649E6A1eF47C403D3636475c4018E4,0xE2fc2A6D821B05b561eA1B2F952d114d246F78c4,0xE2fc2A6D821B05b561eA1B2F952d114d246F78c4,0,active,0.00031,310000000000000,310000000000000
